
;Dato mensual;;;Tasa de variación anual;;;Acumulado del año;;;Tasa de variación del acumulado;;;
;Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);
   Comunidad Valenciana;18.24;581.00;72.00;-98.02;-40.72;-34.53;1,238,99;998.00;108.00;-68.47;5.21;-1.32;
   Madrid (Comunidad de);15.38;760.00;125.00;-98.57;-50.44;-59.69;1,867,76;1,334,00;234.00;-63.55;0.69;-11.47;
   Resto CCAA;20.04;653.00;135.00;-96.92;-21.97;3.21;859.74;785.00;109.00;-67.98;0.47;-12.76;
2020M05;;;;;;;;;;;;;
   TOTAL;0.00;0.00;0.00;-100.00;-100.00;-100.00;11,730,33;1,111,00;149.00;-61.62;6.47;-2.02;
   Andalucia;0.00;0.00;0.00;-100.00;-100.00;-100.00;1,670,18;1,091,00;118.00;-60.82;12.17;2.09;
   Illes Balears;0.00;0.00;0.00;-100.00;-100.00;-100.00;389.24;961.00;140.00;-88.05;2.48;-12.10;
   Canarias;0.00;0.00;0.00;-100.00;-100.00;-100.00;3,459,84;1,267,00;153.00;-51.35;1.07;5.25;
   Cataluña;0.00;0.00;0.00;-100.00;-100.00;-100.00;2,298,24;1,028,00;187.00;-66.41;1.08;-5.44;
   Comunidad Valenciana;0.00;0.00;0.00;-100.00;-100.00;-100.00;1,220,76;1,009,00;109.00;-59.44;7.41;-0.49;
   Madrid (Comunidad de);0.00;0.00;0.00;-100.00;-100.00;-100.00;1,852,38;1,342,00;236.00;-54.22;5.02;-7.29;
   Resto CCAA;0.00;0.00;0.00;-100.00;-100.00;-100.00;839.70;788.00;109.00;-58.75;3.13;-11.91;
2020M04;;;;;;;;;;;;;
   TOTAL;0.00;0.00;0.00;-100.00;-100.00;-100.00;11,730,33;1,111,00;149.00;-47.70;5.87;0.48;
   Andalucia;0.00;0.00;0.00;-100.00;-100.00;-100.00;1,670,18;1,091,00;118.00;-45.90;12.26;4.47;
   Illes Balears;0.00;0.00;0.00;-100.00;-100.00;-100.00;389.24;961.00;140.00;-76.42;3.25;-7.33;
   Canarias;0.00;0.00;0.00;-100.00;-100.00;-100.00;3,459,84;1,267,00;153.00;-42.73;0.34;6.06;
   Cataluña;0.00;0.00;0.00;-100.00;-100.00;-100.00;2,298,24;1,028,00;187.00;-52.53;3.89;-2.87;
   Comunidad Valenciana;0.00;0.00;0.00;-100.00;-100.00;-100.00;1,220,76;1,009,00;109.00;-46.08;4.60;2.17;
   Madrid (Comunidad de);0.00;0.00;0.00;-100.00;-100.00;-100.00;1,852,38;1,342,00;236.00;-39.42;5.68;-5.87;
   Resto CCAA;0.00;0.00;0.00;-100.00;-100.00;-100.00;839.70;788.00;109.00;-43.50;5.52;-9.79;
2020M03;;;;;;;;;;;;;
   TOTAL;2,173,73;1,088,00;154.00;-63.98;1.89;1.99;11,730,33;1,111,00;149.00;-23.69;2.82;2.21;
   Andalucia;332.91;1,116,00;126.00;-62.35;6.37;14.90;1,670,18;1,091,00;118.00;-20.53;6.17;6.59;
   Illes Balears;104.77;905.00;159.00;-70.52;-6.84;-3.48;389.24;961.00;140.00;-40.94;0.90;-6.68;
   Canarias;608.38;1,324,00;149.00;-65.11;1.78;4.21;3,459,84;1,267,00;153.00;-25.67;0.14;6.47;
   Cataluña;398.72;999.00;191.00;-67.81;3.32;-3.20;2,298,24;1,028,00;187.00;-28.10;3.61;-1.59;
   Comunidad Valenciana;244.89;985.00;106.00;-61.42;0.67;-4.61;1,220,76;1,009,00;109.00;-21.17;-0.90;2.99;
   Madrid (Comunidad de);321.05;1,283,00;296.00;-61.00;6.48;1.82;1,852,38;1,342,00;236.00;-16.68;6.68;0.20;
   Resto CCAA;163.01;722.00;128.00;-54.10;-0.83;0.82;839.70;788.00;109.00;-15.07;3.67;-5.10;
2020M02;;;;;;;;;;;;;
   TOTAL;4,789,29;1,082,00;152.00;2.81;1.72;2.65;9,556,60;1,116,00;148.00;2.35;2.54;3.58;
   Andalucia;665.60;1,062,00;125.00;7.11;7.17;8.45;1,337,27;1,085,00;116.00;9.84;7.13;4.11;
   Illes Balears;177.34;956.00;137.00;5.27;4.59;-5.96;284.46;983.00;134.00;-6.34;5.63;-1.23;
   Canarias;1,429,64;1,222,00;156.00;-1.11;-0.32;8.23;2,851,46;1,255,00;154.00;-2.04;0.85;6.68;
   Cataluña;993.61;1,028,00;184.00;-2.00;4.48;-5.48;1,899,51;1,034,00;186.00;-2.98;2.52;0.34;
   Comunidad Valenciana;529.39;1,001,00;113.00;11.38;-3.24;8.23;975.87;1,015,00;110.00;6.80;-3.07;7.32;
   Madrid (Comunidad de);659.60;1,272,00;244.00;4.56;0.66;3.88;1,531,34;1,355,00;227.00;9.38;4.90;6.80;
   Resto CCAA;334.10;775.00;113.00;10.29;2.47;-8.46;676.69;806.00;105.00;6.81;3.39;-3.44;
2020M01;;;;;;;;;;;;;
   TOTAL;4,767,31;1,153,00;145.00;1.89;3.44;4.45;4,767,31;1,153,00;145.00;1.89;3.44;4.45;
   Andalucia;671.67;1,109,00;108.00;12.69;6.98;0.55;671.67;1,109,00;108.00;12.69;6.98;0.55;
   Illes Balears;107.12;1,032,00;129.00;-20.79;8.33;3.42;107.12;1,032,00;129.00;-20.79;8.33;3.42;
   Canarias;1,421,81;1,291,00;152.00;-2.96;2.11;5.16;1,421,81;1,291,00;152.00;-2.96;2.11;5.16;
   Cataluña;905.90;1,041,00;189.00;-4.03;0.40;6.79;905.90;1,041,00;189.00;-4.03;0.40;6.79;
   Comunidad Valenciana;446.48;1,031,00;106.00;1.83;-2.74;6.06;446.48;1,031,00;106.00;1.83;-2.74;6.06;
   Madrid (Comunidad de);871.74;1,426,00;215.00;13.33;8.35;9.37;871.74;1,426,00;215.00;13.33;8.35;9.37;
   Resto CCAA;342.58;839.00;98.00;3.63;4.56;0.21;342.58;839.00;98.00;3.63;4.56;0.21;
2019M12;;;;;;;;;;;;;
   TOTAL;5,010,84;1,164,00;149.00;0.03;1.19;9.26;91,911,97;1,101,00;155.00;2.41;1.55;6.32;
   Andalucia;668.73;1,199,00;116.00;5.67;4.67;8.41;12,412,97;1,032,00;124.00;-1.81;-4.60;3.03;
   Illes Balears;142.72;1,143,00;138.00;-23.94;11.69;0.14;14,843,39;1,085,00;162.00;0.58;1.85;3.84;
   Canarias;1,490,01;1,241,00;152.00;-8.63;-4.41;3.23;16,854,32;1,282,00;150.00;-1.51;3.03;2.97;
   Cataluña;1,081,08;1,089,00;193.00;1.78;-0.66;19.80;21,318,75;1,100,00;197.00;4.11;3.15;6.50;
   Comunidad Valenciana;477.92;1,051,00;100.00;8.93;2.54;18.23;9,553,06;1,002,00;108.00;7.10;3.41;10.67;
   Madrid (Comunidad de);796.17;1,506,00;274.00;11.05;10.63;12.00;10,453,73;1,368,00;271.00;12.61;5.23;11.34;
   Resto CCAA;354.21;796.00;96.00;4.02;2.62;1.98;6,475,76;799.00;117.00;-1.27;-2.82;7.15;
2019M11;;;;;;;;;;;;;
   TOTAL;5,062,63;1,088,00;161.00;3.56;0.93;5.01;86,901,13;1,097,00;155.00;2.55;1.58;6.14;
   Andalucia;673.02;1,096,00;129.00;5.24;3.56;-2.34;11,744,24;1,024,00;125.00;-2.20;-5.07;2.76;
   Illes Balears;188.21;1,030,00;127.00;2.63;5.61;6.53;14,700,67;1,085,00;162.00;0.90;1.74;3.84;
   Canarias;1,482,99;1,264,00;157.00;-0.69;0.26;3.02;15,364,31;1,286,00;150.00;-0.76;3.81;2.96;
   Cataluña;970.17;926.00;200.00;-4.62;-5.76;11.38;20,237,67;1,101,00;197.00;4.23;3.36;5.76;
   Comunidad Valenciana;518.38;958.00;126.00;9.89;0.94;14.47;9,075,14;999.00;108.00;7.00;3.44;10.25;
   Madrid (Comunidad de);862.95;1,296,00;265.00;18.17;7.13;8.26;9,657,56;1,358,00;270.00;12.74;4.83;11.29;
   Resto CCAA;366.91;852.00;123.00;3.85;2.39;-6.81;6,121,54;799.00;119.00;-1.56;-3.12;7.57;
2019M10;;;;;;;;;;;;;
   TOTAL;8,322,55;1,097,00;161.00;1.93;2.77;6.77;81,838,50;1,098,00;155.00;2.49;1.62;6.20;
   Andalucia;1,269,13;1,065,00;133.00;4.97;0.48;0.45;11,071,22;1,020,00;124.00;-2.62;-5.55;3.02;
   Illes Balears;1,297,01;1,059,00;153.00;-3.54;1.16;6.81;14,512,46;1,085,00;163.00;0.88;1.69;3.80;
   Canarias;1,426,93;1,248,00;149.00;-6.20;3.15;3.41;13,881,32;1,289,00;149.00;-0.76;4.20;2.95;
   Cataluña;1,867,98;1,114,00;221.00;9.24;8.51;6.17;19,267,50;1,111,00;197.00;4.72;3.86;5.46;
   Comunidad Valenciana;836.77;962.00;111.00;6.64;5.53;13.81;8,556,76;1,002,00;107.00;6.83;3.61;10.02;
   Madrid (Comunidad de);1,005,01;1,354,00;303.00;2.54;-1.90;10.64;8,794,61;1,364,00;271.00;12.24;4.63;11.59;
   Resto CCAA;619.72;838.00;130.00;0.80;-0.32;10.13;5,754,63;796.00;119.00;-1.89;-3.45;8.39;
2019M09;;;;;;;;;;;;;
   TOTAL;9,617,21;1,087,00;152.00;0.75;1.74;3.98;73,515,95;1,098,00;154.00;2.55;1.49;6.14;
   Andalucia;1,358,57;988.00;133.00;-2.05;-6.03;1.38;9,802,09;1,015,00;124.00;-3.52;-6.28;3.24;
   Illes Balears;2,127,78;1,060,00;163.00;-0.04;1.21;8.61;13,215,45;1,088,00;164.00;1.33;1.74;3.43;
   Canarias;1,223,32;1,285,00;150.00;-7.20;1.29;4.46;12,454,39;1,293,00;150.00;-0.10;4.30;2.89;
   Cataluña;2,277,48;1,132,00;187.00;4.19;3.97;-2.70;17,399,52;1,111,00;195.00;4.26;3.39;5.34;
   Comunidad Valenciana;1,010,16;998.00;100.00;4.41;3.78;1.88;7,719,98;1,007,00;107.00;6.85;3.39;9.62;
   Madrid (Comunidad de);944.18;1,414,00;270.00;7.33;12.05;3.16;7,789,61;1,366,00;267.00;13.62;5.56;11.87;
   Resto CCAA;675.71;824.00;113.00;-0.47;0.97;11.14;5,134,90;791.00;117.00;-2.20;-3.82;8.18;
2019M08;;;;;;;;;;;;;
   TOTAL;11,704,76;1,157,00;147.00;2.14;2.72;5.35;63,898,74;1,099,00;154.00;2.83;1.44;6.47;
   Andalucia;1,540,54;1,097,00;127.00;0.84;2.32;4.95;8,443,51;1,019,00;122.00;-3.76;-6.31;3.49;
   Illes Balears;2,797,16;1,239,00;168.00;0.62;2.43;3.48;11,087,67;1,093,00;164.00;1.60;1.83;2.41;
   Canarias;1,494,00;1,436,00;159.00;-1.37;4.14;1.60;11,231,07;1,294,00;149.00;0.74;4.66;2.71;
   Cataluña;2,775,53;1,174,00;176.00;1.81;4.82;8.95;15,122,04;1,108,00;196.00;4.27;3.30;6.61;
   Comunidad Valenciana;1,417,09;1,115,00;104.00;11.21;2.88;9.07;6,709,83;1,008,00;108.00;7.23;3.32;10.88;
   Madrid (Comunidad de);757.14;1,396,00;277.00;5.25;-1.60;22.92;6,845,43;1,359,00;267.00;14.55;4.68;13.15;
   Resto CCAA;923.31;744.00;98.00;0.64;0.53;0.13;4,459,19;786.00;118.00;-2.46;-4.50;7.73;
2019M07;;;;;;;;;;;;;
   TOTAL;11,941,51;1,209,00;160.00;1.65;3.16;5.21;52,193,98;1,087,00;156.00;2.98;1.18;6.73;
   Andalucia;1,400,59;1,115,00;135.00;-11.70;-6.71;2.58;6,902,97;1,003,00;121.00;-4.72;-8.06;3.15;
   Illes Balears;2,885,74;1,231,00;171.00;1.56;5.27;-2.79;8,290,51;1,052,00;163.00;1.94;1.71;2.07;
   Canarias;1,488,17;1,443,00;162.00;-2.62;5.74;3.66;9,737,08;1,275,00;148.00;1.07;4.77;2.89;
   Cataluña;2,989,37;1,257,00;199.00;3.08;5.21;11.44;12,346,51;1,094,00;202.00;4.84;3.01;5.90;
   Comunidad Valenciana;1,362,61;1,096,00;109.00;14.06;3.87;6.52;5,292,74;982.00;109.00;6.21;3.31;11.42;
   Madrid (Comunidad de);964.54;1,541,00;271.00;8.16;7.03;10.28;6,088,29;1,355,00;266.00;15.82;5.54;11.92;
   Resto CCAA;850.49;857.00;122.00;5.56;2.38;14.74;3,535,88;798.00;124.00;-3.24;-5.80;10.37;
2019M06;;;;;;;;;;;;;
   TOTAL;9,686,12;1,096,00;164.00;3.36;0.09;8.29;40,252,47;1,056,00;155.00;3.39;0.71;7.19;
   Andalucia;1,240,00;997.00;128.00;-2.44;-8.28;3.30;5,502,39;978.00;118.00;-2.77;-8.16;3.55;
   Illes Balears;2,146,86;1,039,00;159.00;0.43;3.16;2.73;5,404,77;976.00;159.00;2.14;0.24;4.52;
   Canarias;1,137,48;1,221,00;149.00;-2.56;4.73;1.77;8,248,91;1,249,00;146.00;1.77;4.70;2.83;
   Cataluña;2,514,58;1,155,00;217.00;5.39;1.89;9.76;9,357,14;1,051,00;203.00;5.42;2.50;4.05;
   Comunidad Valenciana;920.02;980.00;110.00;8.47;4.15;20.20;3,930,13;948.00;110.00;3.74;2.83;12.98;
   Madrid (Comunidad de);1,077,27;1,535,00;311.00;14.66;-1.49;28.64;5,123,75;1,325,00;265.00;17.39;5.48;12.28;
   Resto CCAA;649.91;837.00;131.00;4.62;-11.86;0.32;2,685,40;781.00;125.00;-5.73;-8.13;9.18;
2019M05;;;;;;;;;;;;;
   TOTAL;8,137,84;1,028,00;164.00;-0.21;1.89;9.71;30,566,35;1,044,00;152.00;3.39;0.90;6.86;
   Andalucia;1,174,90;975.00;123.00;-4.29;-5.16;4.06;4,262,39;973.00;115.00;-2.87;-8.12;3.61;
   Illes Balears;1,607,48;945.00;169.00;-2.32;-1.92;6.42;3,257,90;938.00;160.00;3.29;-1.43;5.73;
   Canarias;1,070,33;1,204,00;152.00;-8.22;-0.12;6.66;7,111,42;1,253,00;145.00;2.49;4.68;3.03;
   Cataluña;2,001,02;1,090,00;212.00;5.03;7.91;5.62;6,842,56;1,017,00;198.00;5.43;2.70;2.14;
   Comunidad Valenciana;746.28;870.00;119.00;-4.93;0.94;15.74;3,010,11;939.00;109.00;2.38;2.41;10.90;
   Madrid (Comunidad de);988.60;1,304,00;267.00;24.22;7.96;12.06;4,046,47;1,278,00;255.00;18.14;7.19;8.74;
   Resto CCAA;549.22;816.00;132.00;-12.78;-1.30;9.40;2,035,49;764.00;123.00;-8.62;-7.42;11.31;
2019M04;;;;;;;;;;;;;
   TOTAL;7,056,36;987.00;154.00;6.57;1.11;6.94;22,428,51;1,049,00;148.00;4.76;0.48;6.01;
   Andalucia;985.77;871.00;118.00;-1.66;-9.22;-1.40;3,087,49;972.00;113.00;-2.31;-9.27;3.49;
   Illes Balears;991.38;917.00;152.00;17.59;1.18;-0.06;1,650,42;931.00;151.00;9.42;-0.81;5.70;
   Canarias;1,386,38;1,254,00;146.00;7.05;6.81;2.81;6,041,09;1,263,00;144.00;4.66;5.59;2.44;
   Cataluña;1,645,26;984.00;198.00;8.81;2.26;4.71;4,841,54;989.00;193.00;5.59;0.76;0.84;
   Comunidad Valenciana;715.31;866.00;108.00;5.96;-1.29;16.56;2,263,83;964.00;107.00;5.04;2.71;9.63;
   Madrid (Comunidad de);834.66;1,303,00;303.00;7.77;6.19;14.79;3,057,88;1,270,00;251.00;16.30;6.92;7.69;
   Resto CCAA;497.60;722.00;134.00;-4.17;1.54;20.80;1,486,27;747.00;121.00;-6.98;-9.49;12.17;
2019M03;;;;;;;;;;;;;
   TOTAL;6,034,87;1,068,00;151.00;5.38;0.60;6.30;15,372,15;1,081,00;146.00;3.96;0.24;5.58;
   Andalucia;884.26;1,049,00;109.00;-1.82;-8.25;0.99;2,101,72;1,028,00;111.00;-2.62;-9.24;5.61;
   Illes Balears;355.34;971.00;165.00;-10.72;-2.06;14.83;659.05;952.00;150.00;-0.92;-3.08;12.81;
   Canarias;1,743,75;1,301,00;143.00;8.22;8.79;2.38;4,654,72;1,265,00;144.00;3.97;5.24;2.32;
   Cataluña;1,238,47;967.00;198.00;8.13;2.77;-2.60;3,196,27;992.00;190.00;4.01;0.02;-1.06;
   Comunidad Valenciana;634.76;979.00;111.00;4.51;0.81;11.69;1,548,52;1,018,00;106.00;4.62;4.93;6.54;
   Madrid (Comunidad de);823.15;1,205,00;291.00;25.62;2.97;12.36;2,223,22;1,258,00;236.00;19.86;7.32;6.11;
   Resto CCAA;355.14;728.00;127.00;-13.12;-19.19;8.30;988.67;760.00;115.00;-8.33;-15.02;8.38;
2019M02;;;;;;;;;;;;;
   TOTAL;4,658,61;1,063,00;148.00;2.70;-1.10;4.92;9,337,28;1,089,00;143.00;3.06;0.03;5.10;
   Andalucia;621.42;991.00;115.00;-5.91;-13.00;12.86;1,217,46;1,013,00;111.00;-3.19;-9.95;8.99;
   Illes Balears;168.47;914.00;146.00;9.33;-7.30;16.38;303.70;931.00;136.00;13.67;-3.93;13.26;
   Canarias;1,445,74;1,226,00;144.00;1.90;3.04;3.60;2,910,96;1,245,00;144.00;1.58;3.22;2.32;
   Cataluña;1,013,90;984.00;195.00;-0.94;-2.33;-2.07;1,957,80;1,009,00;185.00;1.56;-1.58;-0.34;
   Comunidad Valenciana;475.32;1,035,00;105.00;8.63;6.32;-3.33;913.76;1,047,00;102.00;4.69;7.99;3.26;
   Madrid (Comunidad de);630.83;1,264,00;235.00;13.56;10.50;-3.99;1,400,07;1,292,00;212.00;16.71;10.07;2.86;
   Resto CCAA;302.93;756.00;123.00;5.93;-10.65;20.35;633.52;780.00;109.00;-5.40;-12.48;8.92;
2019M01;;;;;;;;;;;;;
   TOTAL;4,678,67;1,115,00;139.00;3.41;1.21;5.29;4,678,67;1,115,00;139.00;3.41;1.21;5.29;
   Andalucia;596.04;1,037,00;108.00;-0.17;-6.55;5.22;596.04;1,037,00;108.00;-0.17;-6.55;5.22;
   Illes Balears;135.24;953.00;125.00;19.60;0.65;10.47;135.24;953.00;125.00;19.60;0.65;10.47;
   Canarias;1,465,22;1,264,00;145.00;1.26;3.42;1.06;1,465,22;1,264,00;145.00;1.26;3.42;1.06;
   Cataluña;943.90;1,037,00;177.00;4.39;-0.83;1.68;943.90;1,037,00;177.00;4.39;-0.83;1.68;
   Comunidad Valenciana;438.43;1,060,00;100.00;0.72;9.81;9.37;438.43;1,060,00;100.00;0.72;9.81;9.37;
   Madrid (Comunidad de);769.24;1,316,00;196.00;19.43;9.58;8.19;769.24;1,316,00;196.00;19.43;9.58;8.19;
   Resto CCAA;330.59;802.00;98.00;-13.85;-13.45;0.16;330.59;802.00;98.00;-13.85;-13.45;0.16;
2018M12;;;;;;;;;;;;;
   TOTAL;5,009,52;1,150,00;137.00;10.57;1.12;7.96;89,750,75;1,084,00;146.00;3.16;1.99;6.00;
   Andalucia;632.85;1,145,00;107.00;3.60;-4.30;11.41;12,641,38;1,082,00;121.00;-0.25;-1.64;4.78;
   Illes Balears;187.64;1,023,00;138.00;62.43;-12.04;12.03;14,757,20;1,065,00;156.00;1.08;0.64;8.32;
   Canarias;1,630,73;1,298,00;147.00;5.93;5.95;4.13;17,112,27;1,244,00;146.00;1.96;5.39;5.94;
   Cataluña;1,062,14;1,096,00;161.00;21.04;2.74;5.09;20,477,77;1,067,00;185.00;6.52;6.09;9.82;
   Comunidad Valenciana;438.72;1,025,00;85.00;11.28;4.20;4.61;8,919,99;969.00;98.00;4.59;1.39;1.96;
   Madrid (Comunidad de);716.93;1,361,00;244.00;10.41;-0.19;13.71;9,282,85;1,300,00;243.00;4.83;-1.63;10.79;
   Resto CCAA;340.52;776.00;94.00;-0.96;-5.90;9.66;6,559,31;822.00;109.00;3.47;-1.47;-1.64;
2018M11;;;;;;;;;;;;;
   TOTAL;4,888,55;1,078,00;154.00;5.30;1.95;11.25;84,741,23;1,080,00;146.00;2.75;2.01;5.91;
   Andalucia;639.49;1,058,00;132.00;4.33;-1.66;22.62;12,008,53;1,079,00;121.00;-0.44;-1.52;4.43;
   Illes Balears;183.38;975.00;120.00;4.25;-1.62;0.01;14,569,56;1,066,00;156.00;0.59;0.77;8.36;
   Canarias;1,493,28;1,261,00;152.00;-1.18;3.43;6.54;15,481,53;1,239,00;146.00;1.56;5.31;6.12;
   Cataluña;1,017,12;983.00;180.00;9.53;3.90;-2.16;19,415,63;1,065,00;187.00;5.83;6.23;10.19;
   Comunidad Valenciana;471.74;949.00;110.00;13.46;3.19;20.72;8,481,26;966.00;98.00;4.26;1.25;1.86;
   Madrid (Comunidad de);730.24;1,210,00;245.00;14.46;1.33;10.97;8,565,92;1,295,00;243.00;4.39;-1.76;10.56;
   Resto CCAA;353.30;832.00;132.00;-1.86;1.19;22.43;6,218,79;825.00;110.00;3.72;-1.22;-2.44;
2018M10;;;;;;;;;;;;;
   TOTAL;8,164,58;1,067,00;151.00;4.82;-0.39;5.06;79,852,68;1,080,00;146.00;2.60;2.01;5.60;
   Andalucia;1,209,02;1,060,00;132.00;-1.99;-3.77;0.72;11,369,04;1,080,00;121.00;-0.70;-1.51;3.51;
   Illes Balears;1,344,61;1,047,00;143.00;0.85;-1.31;8.95;14,386,18;1,067,00;157.00;0.54;0.81;8.51;
   Canarias;1,521,29;1,210,00;144.00;-0.38;3.73;2.25;13,988,25;1,237,00;145.00;1.86;5.52;6.09;
   Cataluña;1,710,04;1,027,00;208.00;10.38;-0.77;11.79;18,398,51;1,070,00;187.00;5.63;6.38;10.88;
   Comunidad Valenciana;784.68;911.00;97.00;5.53;-0.40;3.53;8,009,53;967.00;98.00;3.77;1.15;0.90;
   Madrid (Comunidad de);980.12;1,380,00;274.00;17.35;3.95;11.74;7,835,68;1,304,00;243.00;3.54;-1.98;10.51;
   Resto CCAA;614.82;840.00;118.00;8.37;-4.36;-11.26;5,865,49;824.00;109.00;4.08;-1.37;-3.70;
2018M09;;;;;;;;;;;;;
   TOTAL;9,545,81;1,069,00;147.00;0.73;0.11;2.67;71,688,10;1,082,00;145.00;2.35;2.28;5.65;
   Andalucia;1,386,97;1,051,00;132.00;-3.34;-2.77;4.60;10,160,02;1,083,00;120.00;-0.54;-1.24;3.84;
   Illes Balears;2,128,65;1,048,00;150.00;2.36;1.23;5.40;13,041,57;1,069,00;159.00;0.51;1.03;8.47;
   Canarias;1,318,30;1,269,00;143.00;2.42;9.53;5.10;12,466,96;1,240,00;145.00;2.14;5.74;6.57;
   Cataluña;2,185,81;1,089,00;192.00;0.72;0.33;5.10;16,688,47;1,075,00;185.00;5.17;7.13;10.75;
   Comunidad Valenciana;967.51;962.00;99.00;2.29;-0.07;-2.31;7,224,84;974.00;98.00;3.58;1.34;0.62;
   Madrid (Comunidad de);879.67;1,262,00;261.00;1.10;-7.31;15.22;6,855,56;1,294,00;239.00;1.83;-2.77;10.15;
   Resto CCAA;678.90;816.00;102.00;-1.40;-4.20;-13.18;5,250,67;822.00;108.00;3.60;-1.05;-2.96;
2018M08;;;;;;;;;;;;;
   TOTAL;11,459,69;1,126,00;139.00;1.05;3.26;10.51;62,142,29;1,084,00;145.00;2.60;2.62;6.11;
   Andalucia;1,527,78;1,073,00;121.00;-0.99;-1.11;7.80;8,773,05;1,088,00;118.00;-0.09;-0.99;3.77;
   Illes Balears;2,779,86;1,210,00;162.00;0.00;2.38;12.18;10,912,92;1,074,00;160.00;0.16;1.00;9.11;
   Canarias;1,514,70;1,379,00;156.00;-0.15;5.99;11.28;11,148,66;1,237,00;146.00;2.11;5.31;6.75;
   Cataluña;2,726,27;1,120,00;162.00;2.70;8.37;18.23;14,502,66;1,073,00;184.00;5.87;8.20;11.64;
   Comunidad Valenciana;1,274,27;1,084,00;95.00;0.92;-0.51;3.70;6,257,33;975.00;98.00;3.78;1.56;1.08;
   Madrid (Comunidad de);719.38;1,419,00;226.00;-4.08;0.32;16.01;5,975,89;1,298,00;236.00;1.93;-2.08;9.48;
   Resto CCAA;917.44;740.00;98.00;10.14;6.64;7.64;4,571,77;823.00;109.00;4.38;-0.56;-1.28;
2018M07;;;;;;;;;;;;;
   TOTAL;11,748,10;1,172,00;152.00;-0.87;3.81;9.40;50,682,60;1,075,00;146.00;2.96;2.50;5.03;
   Andalucia;1,586,08;1,195,00;132.00;-0.87;1.27;10.43;7,245,27;1,091,00;117.00;0.11;-0.97;2.94;
   Illes Balears;2,841,43;1,169,00;175.00;-2.39;-0.18;11.62;8,133,06;1,034,00;160.00;0.21;0.60;8.08;
   Canarias;1,528,22;1,364,00;156.00;2.29;8.35;5.52;9,633,97;1,217,00;144.00;2.47;5.25;6.11;
   Cataluña;2,900,18;1,195,00;178.00;3.36;8.87;12.35;11,776,39;1,062,00;190.00;6.63;8.20;9.63;
   Comunidad Valenciana;1,194,66;1,055,00;102.00;-3.87;3.37;7.27;4,983,06;951.00;98.00;4.54;2.13;0.34;
   Madrid (Comunidad de);891.81;1,440,00;246.00;4.89;-1.88;17.13;5,256,52;1,284,00;238.00;2.82;-2.31;8.42;
   Resto CCAA;805.71;837.00;106.00;-14.95;-1.82;-6.03;3,654,34;847.00;113.00;3.03;-2.30;-3.50;
2018M06;;;;;;;;;;;;;
   TOTAL;9,370,81;1,095,00;151.00;4.26;2.77;5.62;38,934,51;1,048,00;144.00;4.18;2.26;3.78;
   Andalucia;1,271,05;1,087,00;124.00;-4.04;-4.36;4.39;5,659,19;1,065,00;114.00;0.38;-1.51;1.14;
   Illes Balears;2,137,62;1,008,00;155.00;0.22;-0.72;6.89;5,291,63;973.00;152.00;1.67;1.21;6.56;
   Canarias;1,167,32;1,166,00;147.00;4.88;8.35;9.91;8,105,75;1,193,00;142.00;2.50;4.75;6.21;
   Cataluña;2,385,91;1,134,00;197.00;12.89;8.70;4.53;8,876,21;1,025,00;195.00;7.75;8.17;8.51;
   Comunidad Valenciana;848.20;941.00;91.00;8.70;5.41;-6.85;3,788,40;922.00;97.00;7.50;2.12;-1.81;
   Madrid (Comunidad de);939.51;1,558,00;242.00;3.75;2.31;15.55;4,364,71;1,256,00;236.00;2.40;-2.44;6.74;
   Resto CCAA;621.18;950.00;131.00;0.52;-2.24;8.67;2,848,62;850.00;115.00;9.58;-2.58;-2.99;
2018M05;;;;;;;;;;;;;
   TOTAL;8,155,06;1,009,00;149.00;2.88;1.82;3.09;29,563,70;1,034,00;142.00;4.15;2.10;3.23;
   Andalucia;1,227,53;1,028,00;118.00;-0.91;-2.38;-2.02;4,388,14;1,059,00;111.00;1.74;-0.62;0.38;
   Illes Balears;1,645,70;963.00;159.00;1.75;2.30;7.06;3,154,00;951.00;151.00;2.67;2.53;6.37;
   Canarias;1,166,20;1,206,00;142.00;4.08;6.90;4.23;6,938,42;1,197,00;141.00;2.11;4.15;5.61;
   Cataluña;1,905,15;1,010,00;200.00;4.68;6.65;8.69;6,490,29;990.00;194.00;5.97;7.79;9.83;
   Comunidad Valenciana;784.96;862.00;103.00;3.14;4.07;2.61;2,940,20;917.00;99.00;7.16;1.20;-0.24;
   Madrid (Comunidad de);795.82;1,208,00;239.00;-4.02;-8.99;4.98;3,425,20;1,192,00;234.00;2.04;-3.50;4.43;
   Resto CCAA;629.70;826.00;121.00;16.55;-0.40;-4.88;2,227,44;826.00;111.00;12.40;-2.35;-5.69;
2018M04;;;;;;;;;;;;;
   TOTAL;6,621,53;977.00;144.00;-2.37;1.97;3.99;21,408,64;1,044,00;140.00;4.64;2.20;3.31;
   Andalucia;1,002,42;960.00;120.00;-8.64;-8.63;-3.76;3,160,62;1,071,00;109.00;2.81;0.08;1.35;
   Illes Balears;843.11;906.00;152.00;-7.09;-0.33;10.04;1,508,30;938.00;143.00;3.70;2.80;5.77;
