
;Dato mensual;;;Tasa de variación anual;;;Acumulado del año;;;Tasa de variación del acumulado;;;
;Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);
   Illes Balears;3,262,94;1,383,00;190.00;22.46;13.44;4.56;12,958,32;1,233,00;192.00;14.71;5.44;9.37;
   Canarias;1,713,90;1,613,00;187.00;8.95;6.14;5.99;13,092,91;1,463,00;171.00;16.17;1.39;6.57;
   Cataluña;2,810,15;1,304,00;200.00;16.34;2.70;9.26;14,708,70;1,174,00;211.00;30.60;3.76;12.13;
   Comunidad Valenciana;1,678,23;1,319,00;129.00;21.27;0.81;7.69;8,428,86;1,199,00;130.00;21.48;-0.15;7.06;
   Madrid (Comunidad de);1,033,16;1,653,00;304.00;42.88;2.25;2.04;8,474,16;1,704,00;299.00;39.96;6.23;6.35;
   Resto CCAA;1,125,68;904.00;121.00;35.72;0.75;-0.51;5,508,92;995.00;142.00;32.59;8.70;10.23;
2023M07;;;;;;;;;;;;;
   TOTAL;13,880,83;1,372,00;191.00;16.63;4.80;12.87;59,959,39;1,258,00;179.00;25.50;3.77;11.07;
   Andalucia;1,843,90;1,371,00;166.00;24.17;3.64;20.81;8,411,58;1,229,00;152.00;31.68;4.62;15.85;
   Illes Balears;3,256,45;1,336,00;210.00;15.88;8.08;13.09;9,695,38;1,190,00;193.00;12.32;3.01;10.90;
   Canarias;1,854,98;1,733,00;195.00;15.08;10.61;6.40;11,379,02;1,443,00;168.00;17.34;0.80;6.76;
   Cataluña;3,063,41;1,327,00;221.00;18.02;2.01;9.50;11,898,56;1,147,00;214.00;34.49;4.38;12.73;
   Comunidad Valenciana;1,717,18;1,289,00;139.00;16.78;-1.21;13.04;6,750,63;1,172,00;130.00;21.54;-0.36;6.90;
   Madrid (Comunidad de);1,215,03;1,829,00;298.00;10.93;4.62;10.42;7,440,99;1,711,00;298.00;39.56;6.80;6.91;
   Resto CCAA;929.89;970.00;149.00;11.55;6.76;19.86;4,383,24;1,021,00;149.00;31.81;11.02;13.67;
2023M06;;;;;;;;;;;;;
   TOTAL;10,607,99;1,277,00;192.00;17.53;6.08;10.59;46,078,56;1,227,00;175.00;28.44;3.72;10.74;
   Andalucia;1,424,55;1,232,00;169.00;20.92;5.59;16.91;6,567,67;1,194,00;148.00;33.95;5.11;14.72;
   Illes Balears;2,445,31;1,187,00;196.00;12.23;6.75;9.17;6,438,93;1,128,00;185.00;10.60;0.70;9.77;
   Canarias;1,277,51;1,348,00;176.00;9.82;4.36;6.82;9,524,04;1,398,00;164.00;17.79;-0.70;6.88;
   Cataluña;2,243,10;1,233,00;246.00;20.76;8.24;19.40;8,835,15;1,095,00;212.00;41.32;6.12;14.26;
   Comunidad Valenciana;1,110,74;1,185,00;128.00;2.90;-6.56;-0.18;5,033,45;1,137,00;127.00;23.25;0.07;5.00;
   Madrid (Comunidad de);1,328,38;1,783,00;294.00;29.68;5.45;1.06;6,225,96;1,690,00;298.00;46.96;7.75;6.00;
   Resto CCAA;778.41;1,212,00;163.00;43.03;20.56;10.62;3,453,36;1,035,00;149.00;38.59;12.16;11.64;
2023M05;;;;;;;;;;;;;
   TOTAL;9,766,97;1,177,00;188.00;21.38;2.19;6.73;35,470,58;1,213,00;171.00;32.11;3.11;11.14;
   Andalucia;1,428,25;1,180,00;158.00;24.31;6.83;10.31;5,143,13;1,184,00;143.00;38.07;5.09;14.67;
   Illes Balears;1,903,42;1,059,00;195.00;4.67;-5.07;3.98;3,993,62;1,094,00;179.00;9.63;-2.70;10.01;
   Canarias;1,269,30;1,310,00;168.00;3.42;-5.73;7.36;8,246,53;1,406,00;162.00;19.13;-1.63;6.99;
   Cataluña;2,145,61;1,115,00;226.00;44.35;10.64;11.42;6,592,05;1,055,00;202.00;50.02;6.29;13.73;
   Comunidad Valenciana;1,031,17;1,030,00;131.00;27.99;1.42;0.17;3,922,71;1,124,00;127.00;30.56;2.64;6.93;
   Madrid (Comunidad de);1,261,93;1,787,00;329.00;33.01;7.54;6.78;4,897,58;1,666,00;299.00;52.47;8.70;7.53;
   Resto CCAA;727.27;1,052,00;167.00;18.96;2.37;-3.83;2,674,95;993.00;145.00;37.35;10.05;11.78;
2023M04;;;;;;;;;;;;;
   TOTAL;8,454,47;1,170,00;174.00;22.35;3.36;12.00;25,703,61;1,228,00;165.00;36.71;3.37;13.27;
   Andalucia;1,328,45;1,152,00;149.00;36.18;7.27;16.94;3,714,88;1,185,00;138.00;44.21;4.29;17.02;
   Illes Balears;1,327,83;1,123,00;180.00;10.04;-0.44;22.49;2,090,20;1,128,00;166.00;14.56;-0.47;15.86;
   Canarias;1,547,79;1,334,00;153.00;4.51;0.00;-0.55;6,977,22;1,425,00;161.00;22.51;-0.92;7.03;
   Cataluña;1,618,93;1,050,00;213.00;41.20;5.98;9.81;4,446,44;1,029,00;193.00;52.91;4.39;15.06;
   Comunidad Valenciana;946.70;1,092,00;132.00;18.46;7.30;12.77;2,891,54;1,162,00;125.00;31.50;3.05;9.33;
   Madrid (Comunidad de);1,077,16;1,616,00;338.00;29.39;6.07;11.32;3,635,65;1,628,00;290.00;60.63;9.67;8.51;
   Resto CCAA;607.60;924.00;142.00;29.66;4.39;7.81;1,947,68;973.00;138.00;45.76;13.81;18.87;
2023M03;;;;;;;;;;;;;
   TOTAL;6,668,07;1,271,00;170.00;31.33;1.10;8.30;17,249,14;1,259,00;161.00;45.05;2.89;14.44;
   Andalucia;989.75;1,235,00;144.00;31.92;0.37;16.25;2,386,43;1,204,00;133.00;49.11;2.24;17.48;
   Illes Balears;434.44;1,204,00;153.00;18.85;1.12;-0.46;762.36;1,137,00;147.00;23.40;-0.63;6.93;
   Canarias;1,923,95;1,483,00;162.00;14.61;-0.77;4.03;5,429,43;1,453,00;164.00;28.84;-1.72;9.51;
   Cataluña;1,082,25;1,028,00;194.00;46.82;-1.12;1.34;2,827,51;1,017,00;183.00;60.54;3.56;18.81;
   Comunidad Valenciana;792.32;1,199,00;129.00;31.49;-2.18;4.71;1,944,84;1,199,00;122.00;38.94;-0.19;7.98;
   Madrid (Comunidad de);968.22;1,629,00;347.00;50.77;13.49;22.44;2,558,49;1,633,00;273.00;78.81;11.65;9.52;
   Resto CCAA;477.13;995.00;157.00;58.47;16.09;7.11;1,340,08;997.00;136.00;54.45;18.76;24.89;
2023M02;;;;;;;;;;;;;
   TOTAL;5,364,13;1,242,00;164.00;42.11;4.57;19.75;10,581,07;1,251,00;156.00;55.27;4.32;19.31;
   Andalucia;722.08;1,180,00;129.00;52.43;5.87;13.27;1,396,67;1,184,00;127.00;64.28;4.24;19.85;
   Illes Balears;183.75;1,011,00;148.00;21.74;0.26;16.48;327.92;1,060,00;139.00;30.00;-2.21;17.19;
   Canarias;1,790,75;1,455,00;165.00;27.41;0.20;15.90;3,505,48;1,437,00;165.00;38.25;-2.11;13.06;
